2019-07-14 23:57:40: == Sync Started by User Command
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Form1.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Form1.resources' (28,685)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.import.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.import.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.importbook.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.importbook.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.importdetail.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.importdetail.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.login.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.login.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.pdb' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.pdb' (239,104)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.printcard.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.printcard.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.printcard_details.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.printcard_details.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Properties.Resources.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Properties.Resources.resources' (29,101)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.return_detail.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.return_detail.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.returnbook.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.returnbook.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.staff.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.staff.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.student.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.student.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.testing.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.testing.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.User_and_Privilage.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.User_and_Privilage.resources' (180)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/Program.cs' -> 'D:/Python/Project/Library/Library/Program.cs' (533)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/return_detail.cs' -> 'D:/Python/Project/Library/Library/return_detail.cs' (404)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/return_detail.Designer.cs' -> 'D:/Python/Project/Library/Library/return_detail.Designer.cs' (19,974)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/return_detail.resx' -> 'D:/Python/Project/Library/Library/return_detail.resx' (6,921)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/returnbook.cs' -> 'D:/Python/Project/Library/Library/returnbook.cs' (662)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/returnbook.Designer.cs' -> 'D:/Python/Project/Library/Library/returnbook.Designer.cs' (23,046)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/returnbook.resx' -> 'D:/Python/Project/Library/Library/returnbook.resx' (6,921)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/student.cs' -> 'D:/Python/Project/Library/Library/student.cs' (392)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/student.Designer.cs' -> 'D:/Python/Project/Library/Library/student.Designer.cs' (22,859)
2019-07-14 23:57:40: Copy Over 'D:/Project/library/Library/Library/student.resx' -> 'D:/Python/Project/Library/Library/student.resx' (7,289)
2019-07-14 23:57:40: == Sync Complete. Time: 00:00:00, Speed: 0 bytes/s, OK: 60, Errors: 0
2019-07-14 23:57:40: 
