2019-07-13 10:28:09: == Sync Started by User Command
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/addborrow.cs' -> 'D:/Python/Project/Library/Library/addborrow.cs' (499)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/addborrow.Designer.cs' -> 'D:/Python/Project/Library/Library/addborrow.Designer.cs' (22,254)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/addborrow.resx' -> 'D:/Python/Project/Library/Library/addborrow.resx' (5,817)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.exe' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.exe' (198,656)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.pdb' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.pdb' (294,400)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/bin/Debug/Library.vshost.exe' -> 'D:/Python/Project/Library/Library/bin/Debug/Library.vshost.exe' (24,224)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Borrow.cs' -> 'D:/Python/Project/Library/Library/Borrow.cs' (829)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Borrow.Designer.cs' -> 'D:/Python/Project/Library/Library/Borrow.Designer.cs' (23,448)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Borrow.resx' -> 'D:/Python/Project/Library/Library/Borrow.resx' (7,105)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Class/mdi.cs' -> 'D:/Python/Project/Library/Library/Class/mdi.cs' (1,164)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Form1.cs' -> 'D:/Python/Project/Library/Library/Form1.cs' (2,808)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Form1.Designer.cs' -> 'D:/Python/Project/Library/Library/Form1.Designer.cs' (21,172)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/Form1.resx' -> 'D:/Python/Project/Library/Library/Form1.resx' (48,018)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.addborrow.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.addborrow.resources' (180)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Borrow.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Borrow.resources' (180)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.csproj.FileListAbsolute.txt' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.csproj.FileListAbsolute.txt' (5,963)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.csproj.GenerateResource.Cache' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.csproj.GenerateResource.Cache' (2,828)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.exe' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.exe' (198,656)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.Form1.resources' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.Form1.resources' (28,685)
2019-07-13 10:28:09: Copy Over 'D:/Project/library/Library/Library/obj/Debug/Library.pdb' -> 'D:/Python/Project/Library/Library/obj/Debug/Library.pdb' (294,400)
2019-07-13 10:28:09: == Sync Complete. Time: 00:00:00, Speed: 0 bytes/s, OK: 20, Errors: 0
2019-07-13 10:28:09: 
